product_id,name,price,description,image,category
41,The Strokes - Is This It,340,Influential garage rock album,uploads/41,music
42,Sade - Diamond Life,370,Smooth jazz and soul album,uploads/42,music
43,Gorillaz - Demon Days,390,Acclaimed virtual band album,uploads/43,music
44,The Police - Synchronicity,360,Classic rock album,uploads/44,music
45,Linkin Park - Hybrid Theory,400,Landmark nu-metal album,uploads/45,music
46,Fleetwood Mac - Tusk,340,Classic rock album,uploads/46,music
47,The Weeknd - Starboy,380,Modern pop and R&B album,uploads/47,music
48,David Bowie - Heroes,370,Classic glam rock album,uploads/48,music
49,The Velvet Underground - The Velvet Underground & Nico,350,Influential rock album,uploads/49,music
50,Kanye West - My Beautiful Dark Twisted Fantasy,400,Acclaimed hip-hop album,uploads/50,music
51,Billie Holiday - Lady in Satin,360,Classic jazz album,uploads/51,music
52,Daft Punk - Discovery,380,Landmark electronic album,uploads/52,music
53,Johnny Cash - At Folsom Prison,370,Iconic country album,uploads/53,music
54,The Who - Who's Next,390,Classic rock album,uploads/54,music
55,The Eagles - Hotel California,450,Landmark rock album,uploads/55,music
56,Stevie Wonder - Songs in the Key of Life,380,Iconic soul album,uploads/56,music
57,Fleetwood Mac - Mirage,350,Classic rock album,uploads/57,music
58,The Notorious B.I.G. - Ready to Die,400,Acclaimed hip-hop album,uploads/58,music
59,Oasis - Be Here Now,370,Britpop album,uploads/59,music
60,Beck - Odelay,360,Influential alternative rock album,uploads/60,music
61,Kendrick Lamar - DAMN.,410,Acclaimed hip-hop album,uploads/61,music
62,Hozier - Hozier,370,Breakthrough debut album,uploads/62,music
63,The Killers - Hot Fuss,390,Modern rock album,uploads/63,music
64,Billie Eilish - Happier Than Ever,420,Acclaimed pop album,uploads/64,music
65,The Beatles - The White Album,480,Classic album by The Beatles,uploads/65,music
66,Mariah Carey - Daydream,350,Iconic pop and R&B album,uploads/66,music
67,Ed Sheeran - Divide,370,Best-selling modern pop album,uploads/67,music
68,Travis Scott - Astroworld,390,Acclaimed hip-hop album,uploads/68,music
69,Shakira - Laundry Service,360,Breakthrough Latin pop album,uploads/69,music
70,Lana Del Rey - Born to Die,350,Critically acclaimed indie pop album,uploads/70,music
71,Drake - Views,400,Popular modern hip-hop album,uploads/71,music
72,Frank Ocean - Blonde,420,Acclaimed alternative R&B album,uploads/72,music
73,Lorde - Melodrama,370,Critically acclaimed pop album,uploads/73,music
74,"Ariana Grande - Thank U, Next",400,Acclaimed pop album,uploads/74,music
75,Justin Timberlake - FutureSex/LoveSounds,390,Popular R&B and pop album,uploads/75,music
76,Rihanna - Anti,420,Critically acclaimed R&B album,uploads/76,music
77,Post Malone - Hollywood's Bleeding,390,Popular hip-hop and pop album,uploads/77,music
78,Sam Smith - In the Lonely Hour,380,Grammy-winning pop and soul album,uploads/78,music
79,Taylor Swift - Folklore,420,Acclaimed indie folk album,uploads/79,music
80,Dua Lipa - Future Nostalgia,390,Critically acclaimed pop album,uploads/80,music
81,Lady Gaga - The Fame,360,Breakthrough pop album,uploads/81,music
82,Harry Styles - Fine Line,400,Popular modern pop album,uploads/82,music
83,Shawn Mendes - Shawn Mendes,350,Popular pop album,uploads/83,music
84,Ellie Goulding - Halcyon,380,Acclaimed pop and electronic album,uploads/84,music
85,The 1975 - A Brief Inquiry into Online Relationships,390,Popular indie pop album,uploads/85,music
86,Tame Impala - Currents,420,Critically acclaimed psychedelic rock album,uploads/86,music
87,The Weeknd - After Hours,400,Acclaimed modern pop album,uploads/87,music
88,Blackpink - The Album,370,Breakthrough K-pop album,uploads/88,music
89,BTS - Map of the Soul: 7,410,Popular K-pop album,uploads/89,music
90,Olivia Rodrigo - SOUR,380,Breakthrough pop album,uploads/90,music
91,Lil Nas X - Montero,400,Acclaimed pop and hip-hop album,uploads/91,music
92,Cardi B - Invasion of Privacy,370,Popular hip-hop album,uploads/92,music
93,Megan Thee Stallion - Good News,390,Critically acclaimed hip-hop album,uploads/93,music
94,Doja Cat - Hot Pink,360,Breakthrough pop and R&B album,uploads/94,music
95,Billie Eilish - Don't Smile at Me,380,Acclaimed debut pop album,uploads/95,music
96,Rosalia - El Mal Querer,390,Acclaimed flamenco and pop album,uploads/96,music
97,Bad Bunny - YHLQMDLG,400,Popular reggaeton album,uploads/97,music
98,J Balvin - Colores,370,Acclaimed reggaeton album,uploads/98,music
99,The Chainsmokers - Memories...Do Not Open,350,Popular electronic and pop album,uploads/99,music
